day_reported	model_fit	model_fit_low	model_fit_high	data_value	smoothed_value	variable	data_source	model_type
2020-03-16	964.264118204055	828.449923436043	1122.34338292823	1067	823.142857142857	cases	FOPH_online	before_lockdown
2020-03-17	1133.20209037156	663.17157874237	1936.37215282615	1084	NA	cases	FOPH_online	before_lockdown
2020-03-18	1560.05360002731	731.27081584171	3328.13395835693	1216	NA	cases	FOPH_online	before_lockdown
2020-03-19	2147.69038606359	849.093585358114	5432.35053700772	834	NA	cases	FOPH_online	before_lockdown
2020-03-20	2956.67661310433	1012.60694876306	8633.0995507751	NA	NA	cases	FOPH_online	before_lockdown
2020-03-21	4070.38959209611	1228.41302975056	13487.3784551184	NA	NA	cases	FOPH_online	before_lockdown
2020-03-22	5603.61297478822	1508.40262373041	20817.040408985	NA	NA	cases	FOPH_online	before_lockdown
2020-03-23	7714.36680955268	1869.3172070472	31835.9318835636	NA	NA	cases	FOPH_online	before_lockdown
2020-02-24	NA	NA	NA	5	NA	hospitalizations	FOPH_online	before_lockdown
2020-02-25	NA	NA	NA	4	NA	hospitalizations	FOPH_online	before_lockdown
2020-02-26	NA	NA	NA	8	NA	hospitalizations	FOPH_online	before_lockdown
2020-02-27	1.23599199011586	1.07933277925059	1.41538942298341	4	6.71428571428571	hospitalizations	FOPH_online	before_lockdown
2020-02-28	8.2988033622065	7.24694866068254	9.50332898288859	5	8	hospitalizations	FOPH_online	before_lockdown
2020-02-29	9.8879359209269	8.63466223400472	11.3231153838673	12	9.57142857142857	hospitalizations	FOPH_online	before_lockdown
2020-03-01	11.8302090482518	10.3307566013985	13.5472987628412	9	10.1428571428571	hospitalizations	FOPH_online	before_lockdown
2020-03-02	12.5364901854609	10.9475181895417	14.3560927188317	14	11.7142857142857	hospitalizations	FOPH_online	before_lockdown
2020-03-03	14.4787633127858	12.6436125569355	16.5802760978056	15	14.1428571428571	hospitalizations	FOPH_online	before_lockdown
2020-03-04	17.4804581459243	15.2648493065441	20.0176504107653	12	13.4285714285714	hospitalizations	FOPH_online	before_lockdown
2020-03-05	16.597606724413	14.4938973213651	19.0066579657772	15	14.5714285714286	hospitalizations	FOPH_online	before_lockdown
2020-03-06	18.0101689988311	15.7274204976514	20.6242458777582	22	16.7142857142857	hospitalizations	FOPH_online	before_lockdown
2020-03-07	20.6587232633651	18.0402764531884	23.6572232127227	7	20.2857142857143	hospitalizations	FOPH_online	before_lockdown
2020-03-08	25.0729803709218	21.8950363790834	28.7121854376634	17	25.1428571428571	hospitalizations	FOPH_online	before_lockdown
